tree,treat,152,174,201,227,258,469,496,528,556,579,613,639,674
1,ozone,4.51,4.98,5.41,5.9,6.15,6.16,6.18,6.48,6.65,6.87,6.95,6.99,7.04
2,ozone,4.24,4.2,4.68,4.92,4.96,5.2,5.22,5.39,5.65,5.71,5.78,5.82,5.85
3,ozone,3.98,4.36,4.79,4.99,5.03,5.87,5.88,6.04,6.34,6.49,6.58,6.65,6.61
4,ozone,4.36,4.77,5.1,5.3,5.36,5.53,5.56,5.68,5.93,6.21,6.26,6.2,6.19
5,ozone,4.34,4.95,5.42,5.97,6.28,6.5,6.5,6.79,6.83,7.1,7.17,7.21,7.16
6,ozone,4.59,5.08,5.36,5.76,6,6.33,6.34,6.39,6.78,6.91,6.99,7.01,7.05
7,ozone,4.41,4.56,4.95,5.23,5.33,6.13,6.14,6.36,6.57,6.78,6.82,6.81,6.86
8,ozone,4.24,4.64,4.95,5.38,5.48,5.61,5.63,5.82,6.18,6.42,6.48,6.47,6.46
9,ozone,4.82,5.17,5.76,6.12,6.24,6.48,6.5,6.77,7.14,7.26,7.3,6.91,7.28
10,ozone,3.84,4.17,4.67,4.67,4.8,4.94,4.94,5.05,5.33,5.53,5.56,5.57,5.6
11,ozone,4.07,4.31,4.9,5.1,5.1,5.26,5.26,5.38,5.66,5.81,5.84,5.93,5.89
12,ozone,4.28,4.8,5.27,5.55,5.65,5.76,5.77,5.98,6.18,6.39,6.43,6.44,6.41
13,ozone,4.47,4.89,5.23,5.55,5.74,5.99,6.01,6.08,6.39,6.45,6.57,6.57,6.58
14,ozone,4.46,4.84,5.11,5.34,5.46,5.47,5.49,5.7,5.93,6.06,6.15,6.12,6.12
15,ozone,4.6,4.08,4.17,4.35,4.59,4.65,4.69,5.01,5.21,5.38,5.58,5.46,5.5
16,ozone,3.73,4.15,4.61,4.87,4.93,5.24,5.25,5.25,5.45,5.65,5.65,5.76,5.83
17,ozone,4.67,4.88,5.18,5.34,5.49,6.44,6.44,6.61,6.74,7.06,7.11,7.04,7.11
18,ozone,2.96,3.47,3.76,3.89,4.3,4.15,4.15,4.41,4.72,4.76,4.93,4.98,5.07
19,ozone,3.24,3.93,4.76,4.62,4.64,4.63,4.64,4.77,5.08,5.27,5.3,5.43,5.2
20,ozone,4.36,4.77,5.02,5.26,5.45,5.44,5.44,5.49,5.73,5.77,6.01,5.96,5.96
21,ozone,4.04,4.64,4.86,5.09,5.25,5.25,5.27,5.5,5.65,5.69,5.97,5.97,5.89
22,ozone,3.53,4.25,4.68,4.97,5.18,5.64,5.64,5.53,5.74,5.78,5.94,6.18,5.99
23,ozone,4.22,4.69,5.07,5.37,5.58,5.76,5.8,6.11,6.37,6.35,6.58,6.55,6.55
24,ozone,2.79,3.1,3.3,3.38,3.55,3.61,3.65,3.93,4.18,4.13,4.36,4.43,4.39
25,ozone,3.3,3.9,4.34,4.96,5.4,5.46,5.49,5.77,6.03,6.07,6.2,6.26,6.28
26,ozone,3.34,3.81,4.21,4.54,4.86,4.93,4.96,5.15,5.48,5.49,5.7,5.74,5.74
27,ozone,3.76,4.36,4.7,5.44,5.32,5.65,5.67,5.63,6.04,6.02,6.05,6.03,5.91
28,ozone,4.49,4.76,5.15,5.37,5.56,5.73,5.73,5.8,5.97,6.1,6.16,6.22,6.13
29,ozone,4.88,5.14,5.52,6.08,6.17,6.32,6.33,6.37,6.68,6.83,6.94,6.93,6.95
